Sample,mRNAsi
TCGA-E7-A541-01A-11R-A26T-07,0.4302933525931675
TCGA-E7-A5KE-01A-11R-A28M-07,0.4863426105574943
TCGA-E7-A5KF-01A-11R-A28M-07,0.4649098695476668
TCGA-E7-A677-01A-11R-A30C-07,0.31572177731585715
TCGA-E7-A678-01A-11R-A30C-07,0.41644690954100155
TCGA-E7-A6MD-01A-41R-A352-07,0.33111465069217105
TCGA-E7-A6ME-01A-22R-A32O-07,0.5130113520173891
TCGA-E7-A6MF-01A-12R-A32O-07,0.3401303559622046
TCGA-E7-A7DU-01A-11R-A32O-07,0.3942623189141244
TCGA-E7-A7DV-01A-11R-A33J-07,0.3831094407688656
TCGA-E7-A7PW-01A-11R-A352-07,0.5025760328630614
TCGA-E7-A7XN-01A-11R-A352-07,0.4919873667107144
TCGA-E7-A85H-01A-11R-A352-07,0.5294639086786064
TCGA-E7-A8O7-01A-11R-A36F-07,0.3506963920469425
TCGA-E7-A8O8-01A-11R-A36F-07,0.4672840205511876
TCGA-E7-A97P-01A-11R-A38B-07,0.3550144180979308
TCGA-E7-A97Q-01A-11R-A38B-07,0.2648277154033724
TCGA-FD-A3B3-01A-12R-A206-07,0.40484535563049967
TCGA-FD-A3B4-01A-12R-A206-07,0.33577926463512997
TCGA-FD-A3B5-01A-11R-A20F-07,0.3665787065493601
TCGA-FD-A3B6-01A-21R-A20F-07,0.5075231106416325
TCGA-FD-A3B7-01A-31R-A20F-07,0.37599649854429523
TCGA-FD-A3B8-01A-31R-A20F-07,0.24702664940250146
TCGA-FD-A3N5-01A-11R-A21D-07,0.4607511651077091
TCGA-FD-A3N6-01A-11R-A21D-07,0.47353438639131634
TCGA-FD-A3NA-01A-11R-A21D-07,0.4355223859791347
TCGA-FD-A3SJ-01A-12R-A22U-07,0.4681689049506438
TCGA-FD-A3SL-01A-21R-A22U-07,0.2544572285801503
TCGA-FD-A3SM-01A-11R-A22U-07,0.30388811073645866
TCGA-FD-A3SN-01A-12R-A22U-07,0.41505716170654267
TCGA-FD-A3SO-01A-11R-A22U-07,0.45937861741858543
TCGA-FD-A3SP-01A-31R-A22U-07,0.22516234218470332
TCGA-FD-A3SQ-01A-21R-A22U-07,0.18303507773293395
TCGA-FD-A3SR-01A-11R-A22U-07,0.3627725868516563
TCGA-FD-A3SS-01A-12R-A22U-07,0.37861733192030633
TCGA-FD-A43N-01A-11R-A23W-07,0.31652671548533423
TCGA-FD-A43P-01A-31R-A23W-07,0.5110630261377372
TCGA-FD-A43S-01A-21R-A23W-07,0.2382594093763548
TCGA-FD-A43U-01A-11R-A23W-07,0.29015824175431754
TCGA-FD-A43X-01A-11R-A23W-07,0.40192898979126873
TCGA-FD-A43Y-01A-21R-A26T-07,0.36543661278962974
TCGA-FD-A5BR-01A-11R-A26T-07,0.2995880018349312
TCGA-FD-A5BS-01A-21R-A26T-07,0.304054821911862
TCGA-FD-A5BT-01A-11R-A26T-07,0.27388540069819173
TCGA-FD-A5BU-01A-31R-A26T-07,0.33500526805656533
TCGA-FD-A5BV-01A-11R-A26T-07,0.37863182515887595
TCGA-FD-A5BX-01A-11R-A26T-07,0.24049303830769733
TCGA-FD-A5BY-01A-31R-A28M-07,0.4088053171657944
TCGA-FD-A5BZ-01A-11R-A28M-07,0.2029517564354726
TCGA-FD-A5C0-01A-11R-A28M-07,0.39918424630276333
TCGA-FD-A5C1-01A-11R-A28M-07,0.3687449734055157
TCGA-FD-A62N-01A-11R-A30C-07,0.34823253662522363
TCGA-FD-A62O-01A-11R-A30C-07,0.3651590677685786
TCGA-FD-A62P-01A-32R-A30C-07,0.38657836749310165
TCGA-FD-A62S-01A-11R-A30C-07,0.2724234041850385
TCGA-FD-A6TA-01A-12R-A33J-07,0.3280692164003333
TCGA-FD-A6TB-01A-12R-A33J-07,0.33201699527749023
TCGA-FD-A6TC-01A-21R-A33J-07,0.3281297555818957
TCGA-FD-A6TD-01A-51R-A33J-07,0.3799480640071057
TCGA-FD-A6TE-01A-12R-A33J-07,0.439237937096128
TCGA-FD-A6TF-01A-52R-A32O-07,0.34060659090961903
TCGA-FD-A6TG-01A-11R-A32O-07,0.3534060966059098
TCGA-FD-A6TH-01A-11R-A32O-07,0.3998313646430816
TCGA-FD-A6TI-01A-11R-A32O-07,0.253264275643985
